"AA_angle_gyro.pitch_x","AA_angle_gyro.pitch_y","AA_angle_gyro.roll_x","AA_angle_gyro.roll_y","AA_motor.motor_1_x","AA_motor.motor_1_y","AA_motor.motor_2_x","AA_motor.motor_2_y","AA_motor.motor_3_x","AA_motor.motor_3_y","AA_motor.motor_4_x","AA_motor.motor_4_y"
23889,0.003709170036,23889,-0.01722018421,23889,33500,23889,33500,23889,36004.65625,23889,36221.76562,
23939,0.0076152822,23939,-0.0005136555992,23939,38482.94141,23939,36011.49609,23939,33500,23939,33500,
23989,0.01186435111,23989,0.02909651212,23989,36090.24609,23989,34046.09375,23989,33500,23989,33500,
24039,-1.707131378e-05,24039,0.02100127935,24039,33500,24039,33917.33594,24039,38050.83594,24039,33500,
24089,-0.01099993289,24089,-0.004646128975,24089,33500,24089,33500,24089,37007.77344,24089,36951.47656,
24139,0.0006901929155,24139,-0.002947454806,24139,37826.21875,24139,33500,24139,33500,24139,33500,
24189,0.008221210912,24189,0.02121990919,24189,35263.78906,24189,35042.41406,24189,33500,24189,33500,
24239,-0.006226480938,24239,0.02319632098,24239,33500,24239,34298.75,24239,36763.90625,24239,33500,
24389,0.009319774806,24389,0.007751429453,24389,35598.28516,24389,34073.01562,24389,33500,24389,33500,
24439,-0.000824801682,24439,0.004251635168,24439,33500,24439,33586.44922,24439,36540.80078,24439,33500,
24539,-0.005847430322,24539,-0.01556510199,24539,35287.15625,24539,33500,24539,33500,24539,34890.46875,
24589,0.006729323883,24589,-0.01464735437,24589,35383.63281,24589,33500,24589,33500,24589,34130.89453,
24639,-0.0002446809085,24639,-0.02062316798,24639,33500,24639,33500,24639,37364.33984,24639,33500,
24739,0.002712287242,24739,-0.02083646879,24739,37226.39062,24739,33500,24739,33500,24739,33500,
24789,0.01297120191,24789,-0.02335155755,24789,33500,24789,33500,24789,35678.38672,24789,35071.30859,
24839,0.001402599621,24839,-0.04142064974,24839,33500,24839,33500,24839,38564.875,24839,33544.02344,
24889,0.004991011228,24889,-0.03487628326,24889,38054.75781,24889,33500,24889,33500,24889,33500,
24939,0.01667304151,24939,-0.01738858595,24939,35846.80078,24939,34433.44141,24939,33500,24939,33500,
24989,0.002212364459,24989,-0.03064569272,24989,33500,24989,33500,24989,40389.71484,24989,33657.32422,
25039,-0.005818996578,25039,-0.04168489203,25039,34572.17578,25039,33500,25039,33500,25039,33500,
25089,0.0111503927,25089,-0.02780858614,25089,37263.71875,25089,33500,25089,33500,25089,33500,
25139,0.01409122907,25139,-0.02559696697,25139,33500,25139,33500,25139,36785.69531,25139,34273.71484,
25189,0.004080318846,25189,-0.02636761405,25189,34239.29297,25189,33500,25189,35496.01953,25189,33500,
25239,0.0001495966717,25239,-0.01370714605,25239,35596.89062,25239,33515.37891,25239,34990.78906,25239,33500,
25339,-0.01846012287,25339,-0.003207810223,25339,33500,25339,34632.32812,25339,39348.28125,25339,33500,
25389,-0.02236980759,25389,0.00480624428,25389,38582.30469,25389,33500,25389,33500,25389,33500,
25439,-0.005880985409,25439,0.02217941731,25439,37162.42578,25439,33500,25439,33500,25439,33500,
25489,-0.013908186,25489,0.008971300907,25489,33500,25489,33500,25489,39643.58984,25489,33500,
25739,-0.007829388604,25739,0.006348788273,25739,34872.72266,25739,34102.41016,25739,34517.94141,25739,33500,
25789,-0.001747186296,25789,0.009949054569,25789,35298.03125,25789,33500,25789,33898.32812,25789,34690.79688,
